path,classification
.github/workflows/ci.yml,New GAUSSTOP-specific code
.gitignore,New GAUSSTOP-specific code
ARCHITECTURE.md,New GAUSSTOP-specific code
CHANGELOG.md,New GAUSSTOP-specific code
HARDWARE.md,New GAUSSTOP-specific code
HARDWARE_VALIDATION.md,New GAUSSTOP-specific code
LEGACY.md,New GAUSSTOP-specific code
LICENSE,Unmodified upstream
PROTOCOL.md,New GAUSSTOP-specific code
README.md,New GAUSSTOP-specific code
SAFETY.md,New GAUSSTOP-specific code
SOURCE_CLASSIFICATION.csv,New GAUSSTOP-specific code
TESTING.md,New GAUSSTOP-specific code
UPSTREAM.md,New GAUSSTOP-specific code
firmware/esp32/coordinator/main.cpp,New ESP32 code
firmware/esp32/passive_probe/main.cpp,New ESP32 code
firmware/gd32/boards/gausstop_dphc_v33/gausstop_board.c,Modified upstream
firmware/gd32/boards/gausstop_dphc_v33/gausstop_board.h,New GAUSSTOP-specific code
firmware/gd32/boards/gausstop_dphc_v33/gausstop_memory.ld,Modified upstream
firmware/gd32/common/control/gs_console.c,New ESP32 code
firmware/gd32/common/control/gs_console.h,New ESP32 code
firmware/gd32/common/control/gs_types.h,New GAUSSTOP-specific code
firmware/gd32/common/control/gs_wheel_mix.c,New GAUSSTOP-specific code
firmware/gd32/common/control/gs_wheel_mix.h,New GAUSSTOP-specific code
firmware/gd32/common/coordination/gs_master.c,Reused legacy code
firmware/gd32/common/coordination/gs_master.h,Reused legacy code
firmware/gd32/common/coordination/gs_slave.c,Reused legacy code
firmware/gd32/common/coordination/gs_slave.h,Reused legacy code
firmware/gd32/common/motor/gs_commutation.c,Reused legacy code
firmware/gd32/common/motor/gs_commutation.h,Reused legacy code
firmware/gd32/common/motor/gs_motor_control.c,Reused legacy code
firmware/gd32/common/motor/gs_motor_control.h,Reused legacy code
firmware/gd32/common/protocol/gs_frame_parser.c,New GAUSSTOP-specific code
firmware/gd32/common/protocol/gs_frame_parser.h,New GAUSSTOP-specific code
firmware/gd32/common/protocol/gs_protocol.c,Reused legacy code
firmware/gd32/common/protocol/gs_protocol.h,Reused legacy code
firmware/gd32/common/safety/gs_safety.c,Reused legacy code
firmware/gd32/common/safety/gs_safety.h,Reused legacy code
firmware/gd32/common/transport/gs_baremetal_syscalls.c,New GAUSSTOP-specific code
firmware/gd32/common/transport/gs_transport.h,New GAUSSTOP-specific code
firmware/gd32/communication_diagnostic/main.c,New GAUSSTOP-specific code
firmware/gd32/master/main.c,Reused legacy code
firmware/gd32/safe_recovery/main.c,Reused legacy code
firmware/gd32/slave/main.c,Reused legacy code
platformio.ini,New GAUSSTOP-specific code
requirements-dev.txt,New GAUSSTOP-specific code
tests/native/test_architecture.c,New GAUSSTOP-specific code
tests/native/test_control.c,New GAUSSTOP-specific code
tests/native/test_harness.h,New GAUSSTOP-specific code
tests/native/test_main.c,New GAUSSTOP-specific code
tests/native/test_protocol.c,New GAUSSTOP-specific code
tools/audit-upstream.sh,New GAUSSTOP-specific code
tools/bootstrap-tools.sh,New GAUSSTOP-specific code
tools/build-all.sh,New GAUSSTOP-specific code
tools/check-architecture.sh,New GAUSSTOP-specific code
tools/check-classification.sh,New GAUSSTOP-specific code
tools/check-format.sh,New GAUSSTOP-specific code
tools/check-hardware-isolation.sh,New GAUSSTOP-specific code
tools/check-licenses.sh,New GAUSSTOP-specific code
tools/firmware-manifest.sh,New GAUSSTOP-specific code
tools/hardware/flash-and-verify.sh,New GAUSSTOP-specific code
tools/hardware/read-flash.sh,New GAUSSTOP-specific code
tools/hardware/uart-capture.sh,New GAUSSTOP-specific code
tools/pio_extra.py,New GAUSSTOP-specific code
tools/static-checks.sh,New GAUSSTOP-specific code
tools/test-all.sh,New GAUSSTOP-specific code
tools/test-native.sh,New GAUSSTOP-specific code
tools/test-sanitized.sh,New GAUSSTOP-specific code
tools/tool-packages/arm-package.json,New GAUSSTOP-specific code
tools/tool-packages/esptoolpy/esptool.py,New GAUSSTOP-specific code
tools/tool-packages/esptoolpy/package.json,New GAUSSTOP-specific code
tools/tool-packages/tool-scons/.piopm,New GAUSSTOP-specific code
tools/tool-packages/tool-scons/package.json,New GAUSSTOP-specific code
tools/tool-packages/tool-scons/scons.py,New GAUSSTOP-specific code
tools/tool-packages/xtensa-package.json,New GAUSSTOP-specific code
tools/verify-image.sh,New GAUSSTOP-specific code
